TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1504844544951,181.875,141,98
-1,184.375,157,199
-1,187.812,210,183
-1,190.937,180,183
-1,201.25,251,65
-1,204.0,340,191
-1,206.75,341,191
-1,209.5,346,191
-1,212.25,348,191
-1,215.0,344,191
-1,217.562,351,191
-1,220.5,354,191
-1,223.062,360,191
-1,225.625,364,191
-1,228.375,376,191
-1,231.187,383,191
-1,233.937,355,191
-1,236.687,331,183
-1,239.437,310,191
-1,244.937,139,191
-1,247.5,77,183
-1,250.25,72,183
-1,253.0,69,183
-1,255.75,66,191
-1,258.5,63,191
-1,261.25,64,191
-1,264.187,61,191
-1,266.687,58,183
-1,269.437,59,191
-1,272.125,59,183
-1,274.875,61,183
-1,277.562,62,191
-1,280.312,184,183
-1,282.687,196,199
-1,284.812,194,199
-1,287.187,192,199
-1,289.437,194,199
-1,292.0,196,199
-1,294.375,194,199
-1,297.0,194,199
-1,299.562,196,199
-1,301.75,199,199
-1,304.0,198,199
-1,306.187,203,199
-1,308.437,203,199
-1,311.0,207,199
-1,313.375,209,199
-1,315.875,214,191
-1,318.437,194,199
-1,321.0,189,191
-1,323.75,166,199
-1,326.312,155,191
-1,329.062,159,191
-1,332.75,165,191
-1,340.75,160,98
-1,344.062,151,167
-1,347.187,142,175
-1,350.437,142,167
-1,353.0,134,175
-1,356.125,131,175
-1,359.25,124,167
1504844544951,2.0,129,183
-1,4.562,116,183
-1,6.937,111,199
-1,11.312,92,199
-1,14.437,42,175
-1,17.5,45,183
-1,20.437,42,183
-1,23.75,42,167
-1,27.187,44,167
-1,29.937,37,191
-1,33.062,38,191
-1,36.187,28,159
-1,38.75,20,175
-1,45.687,29,159
-1,52.875,20,112
-1,55.437,20,191
-1,58.062,22,191
-1,60.25,18,199
-1,62.812,18,199
-1,65.437,13,191
-1,72.75,22,98
-1,81.312,19,84
-1,94.062,18,45
-1,102.625,52,98
-1,105.125,60,191
-1,107.875,58,183
-1,110.75,54,191
-1,113.875,57,191
-1,117.0,66,167
-1,125.375,48,98
-1,131.437,57,175
-1,134.0,64,191
-1,136.562,66,191
-1,139.125,68,191
-1,141.875,69,191
-1,144.562,72,191
-1,147.312,70,191
-1,150.062,76,191
-1,152.812,89,191
-1,165.687,1,40
-1,178.25,144,50
-1,180.937,146,199
-1,183.125,137,191
-1,186.187,225,183
-1,188.75,164,183
-1,192.0,194,175
-1,201.812,264,72
-1,204.375,340,191
-1,207.125,340,191
-1,209.687,348,199
-1,212.25,351,191
-1,214.812,348,191
-1,217.375,346,191
-1,220.125,353,191
-1,222.687,359,191
-1,225.437,367,191
-1,228.187,379,191
-1,231.0,382,191
-1,233.562,359,191
-1,236.312,332,183
-1,239.062,315,191
-1,244.937,159,191
-1,247.5,75,183
-1,250.062,74,183
-1,252.625,71,191
-1,255.187,66,191
-1,257.937,64,191
-1,260.687,63,191
-1,263.25,67,183
-1,265.812,62,191
-1,268.5,63,191
-1,271.25,60,191
-1,273.937,63,191
-1,276.687,65,191
-1,280.125,147,183
-1,282.312,195,199
-1,284.5,197,199
-1,287.187,194,199
-1,289.812,193,199
-1,292.0,193,199
-1,294.562,193,199
-1,297.187,197,199
-1,299.375,197,199
-1,301.937,197,199
-1,304.562,197,199
-1,307.125,202,199
-1,309.687,204,199
-1,311.875,209,199
-1,314.437,211,199
-1,317.0,207,191
-1,319.75,196,199
-1,321.937,170,199
-1,324.5,164,191
-1,327.062,156,199
-1,329.625,159,199
-1,338.75,171,84
-1,341.875,153,159
-1,344.812,150,167
-1,348.062,146,167
-1,350.625,135,175
-1,353.562,134,175
-1,356.125,129,183
-1,359.062,134,183
1504844544952,2.0,122,183
-1,4.75,124,183
-1,7.125,112,199
-1,11.5,75,191
-1,14.625,44,183
-1,17.125,44,183
-1,19.875,44,183
-1,23.375,44,183
-1,26.5,39,167
-1,29.062,39,183
-1,31.625,34,191
-1,35.062,38,167
-1,38.187,22,183
-1,43.5,10,175
-1,51.937,17,98
-1,54.75,14,191
-1,57.5,15,191
-1,59.875,17,199
-1,62.125,13,199
-1,64.687,18,199
-1,68.0,19,167
-1,71.25,13,175
-1,74.75,18,159
-1,83.687,18,84
-1,96.25,20,40
-1,102.937,53,112
-1,105.5,53,191
-1,108.25,59,183
-1,110.75,56,191
-1,113.875,53,191
-1,116.812,66,159
-1,125.562,49,84
-1,131.25,52,183
-1,134.0,64,191
-1,136.562,67,191
-1,139.125,67,191
-1,141.875,69,183
-1,144.437,68,191
-1,146.937,69,199
-1,149.687,72,191
-1,152.437,81,191
-1,165.312,1,45
-1,178.25,169,45
-1,180.375,143,199
-1,182.937,141,191
-1,186.0,229,175
-1,188.562,163,183
-1,191.812,191,175
-1,201.812,265,72
-1,204.375,340,191
-1,206.937,341,191
-1,209.687,343,191
-1,212.25,348,191
-1,215.0,345,191
-1,217.75,351,191
-1,220.125,353,191
-1,222.687,365,191
-1,225.25,368,191
-1,227.875,374,191
-1,230.625,381,191
-1,233.375,362,191
-1,236.125,333,183
-1,238.937,317,191
-1,241.687,296,191
-1,244.812,73,159
-1,247.312,77,183
-1,249.875,73,191
-1,252.437,69,191
-1,255.0,67,191
-1,257.75,65,183
-1,260.312,63,191
-1,262.875,63,191
-1,265.812,63,191
-1,268.5,62,183
-1,271.25,60,183
-1,273.937,59,191
-1,276.687,58,191
-1,279.937,138,183
-1,282.125,198,199
-1,284.312,193,199
-1,286.5,194,199
-1,288.687,192,199
-1,290.875,192,199
-1,293.125,194,199
-1,295.312,194,199
-1,297.562,195,199
-1,299.75,195,199
-1,301.937,199,199
-1,304.187,195,199
-1,306.375,202,199
-1,308.562,205,199
-1,310.812,207,199
-1,313.0,209,199
-1,315.562,214,199
-1,317.937,194,199
-1,320.5,191,191
-1,323.062,169,199
-1,325.75,155,191
-1,328.5,157,191
-1,331.437,166,191
-1,340.062,163,98
-1,342.937,148,167
-1,346.25,145,175
-1,349.375,141,183
-1,352.5,140,175
-1,355.75,135,175
-1,358.875,134,175
1504844544952,1.625,124,183
-1,4.375,125,191
-1,6.75,110,199
-1,11.5,87,199
-1,14.25,44,175
-1,17.0,38,175
-1,19.687,40,183
-1,22.812,47,183
-1,29.562,40,112
-1,32.125,37,191
-1,39.437,24,112
-1,50.875,19,70
-1,53.625,22,191
-1,56.375,18,183
-1,58.937,18,191
-1,61.375,13,199
-1,63.562,15,199
-1,66.5,15,191
-1,69.625,24,167
-1,72.562,17,175
-1,81.312,23,84
-1,93.875,24,45
-1,101.875,45,98
-1,104.437,58,191
-1,107.5,55,191
-1,110.187,57,191
-1,112.75,55,191
-1,116.25,57,159
-1,125.75,49,84
-1,131.625,65,167
-1,134.375,66,191
-1,136.937,63,191
-1,139.625,65,191
-1,142.187,68,191
-1,144.937,72,191
-1,147.687,74,191
-1,150.437,75,191
-1,153.187,91,191
-1,166.062,1,30
-1,178.75,135,65
-1,181.5,153,191
-1,184.0,144,199
-1,187.625,215,183
-1,190.562,170,183
-1,194.187,213,159
-1,198.312,217,191
-1,201.062,337,175
-1,203.625,340,191
-1,206.375,339,191
